INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q9	0	3	0	0	0	0	8	N/A	N/A	N/A	0	4	0	13
q12	4	2	1	1	0	1	7	11	1	0	12	71	305	408
q15	13	2	1	1	0	1	0	0	0	0	1	4	15	20
q18	17	2	3	2	0	2	2	3	0	0	2	18	15	40
q25	4	4	3	1	0	1	4	13	0	0	3	40	56	116
q32	0	3	0	0	0	0	2	N/A	N/A	N/A	0	0	0	2
q35	10	2	6	6	0	6	17	9	0	11	7	12	75	132
q78	4	3	2	2	0	2	1	1	0	0	2	2	32	38
q89	0	2	1	1	0	1	0	1	0	0	2	7	0	11
