INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q9	0	2	1	1	0	1	16	13	0	0	13	5	0	48
q12	0	2	0	0	0	0	3	N/A	N/A	N/A	0	0	1	4
