INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q9	10	2	6	6	0	6	31	17	1	6	14	54	417	542
q52	10	2	1	1	0	1	1	1	0	0	5	34	40	82
q55	10	2	6	6	0	6	5	6	0	3	5	4	126	150
q98	0	2	1	0	0	0	0	1	0	0	0	0	0	1
q101	0	2	0	0	0	0	5	N/A	N/A	N/A	0	1	0	7
q104	0	2	0	0	0	0	2	N/A	N/A	N/A	0	0	0	2
q107	0	3	0	0	0	0	0	N/A	N/A	N/A	0	0	0	0
q110	0	2	1	1	0	1	1	1	0	0	4	8	0	15
q113	0	2	1	1	0	1	1	1	0	0	3	0	0	5
