INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q4	0	2	1	0	0	0	15	5	0	1	0	7	0	28
q29	9	2	3	3	0	3	3	19	0	9	24	45	357	463
q58	0	2	3	0	0	0	3	2	0	0	0	0	0	5
q87	9	2	3	3	0	3	2	2	0	2	3	4	36	50
