INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q8	10	2	1	1	0	1	1	1	0	0	22	1	25	50
q14	10	2	1	1	0	1	1	2	0	0	3	3	16	25
