INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q9	5	3	3	2	0	2	19	16	0	1	11	72	192	312
q16	1	2	1	1	0	1	1	1	0	0	4	12	84	102
q19	0	2	1	1	0	1	1	4	0	0	10	1	0	17
q22	1	2	1	1	0	1	1	2	0	0	2	4	19	28
