INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q9	0	2	1	1	0	1	13	22	0	0	11	5	0	53
q12	10	2	1	1	0	1	0	1	0	0	6	54	170	231
q15	0	2	1	1	0	1	1	1	0	0	2	1	0	5
q18	0	2	1	1	0	1	0	1	0	0	2	0	0	3
q21	0	2	1	1	0	1	2	1	0	0	2	1	0	6
q24	10	2	1	1	0	1	0	1	0	0	3	6	17	27
q27	1	2	1	1	0	1	1	2	0	0	5	12	81	101
q30	38	2	1	1	0	1	1	2	0	0	1	10	15	29
